family,n,p,amplitude,basis,map,extra,field,derivative,order,method,error_ratio,face_ratio,jump_ratio,relative_l2,error_l2
quad,4.0,2.0,1.2,gll,coupled,0.0,shortwave,xx,2,physical_k2,1.0028389921559762,1.0063755402741257,1.0105027460360707,0.6058220733780941,27.427170411316713
quad,4.0,2.0,1.2,gll,coupled,0.0,shortwave,xy,2,physical_k,2.5748321460212837,1.8872117628508862,2.3523845585986867,0.6672889289480447,22.6574533663709
quad,4.0,2.0,1.2,gll,coupled,0.0,shortwave,xy,2,physical_k1,1.2476293499001017,1.1708372121503972,1.4766004684158354,0.3233334079293037,10.97862004618748
quad,4.0,2.0,1.2,gll,coupled,0.0,shortwave,xy,2,physical_k2,0.9872724985109972,0.9859126264754429,1.0009745401247294,0.25585978842514334,8.687587899459329
quad,4.0,2.0,1.2,gll,coupled,0.0,shortwave,yy,2,physical_k,1.1902855698202701,1.1275602050534377,1.189069643443396,0.665145368478695,16.938502402461943
quad,4.0,2.0,1.2,gll,coupled,0.0,shortwave,yy,2,physical_k1,0.9720206581715071,0.9672991804723414,1.0157447081074615,0.5431764067727174,13.832457244833119
quad,4.0,2.0,1.2,gll,coupled,0.0,shortwave,yy,2,physical_k2,1.0030110560016248,1.0066230896031518,1.012660424824621,0.5604942001717649,14.273469839968557
quad,4.0,2.0,1.2,gll,coupled,0.0,exponential,x,1,physical_k,1.3464797000961881,1.2164316185846202,6.497214457416498,0.0035277031110276164,0.00826499470395138
quad,4.0,2.0,1.2,gll,coupled,0.0,exponential,x,1,physical_k1,0.8942958550001338,0.8849026470456687,2.2298678242972216,0.0023430061883871734,0.005489388740739101
quad,4.0,2.0,1.2,gll,coupled,0.0,exponential,x,1,physical_k2,0.9974028707671104,1.0043528313517875,0.9531040988604765,0.002613140925854031,0.006122282752578578
quad,4.0,2.0,1.2,gll,coupled,0.0,exponential,y,1,physical_k,0.9559543600108705,0.9068856771459346,5.9027871902814075,0.0034103952011184965,0.00399507801372417
quad,4.0,2.0,1.2,gll,coupled,0.0,exponential,y,1,physical_k1,0.9571051355312966,0.954830865221686,1.4453981311394,0.0034145006265201665,0.0039998872788655875
quad,4.0,2.0,1.2,gll,coupled,0.0,exponential,y,1,physical_k2,1.0120865367009888,1.0247577165639272,1.8122446539752883,0.0036106483868565036,0.004229662879213587
quad,4.0,2.0,1.2,gll,coupled,0.0,exponential,xx,2,physical_k,0.9132692638704168,0.8486960187639936,0.979148934674407,0.07758466482266668,0.1817717715140692
quad,4.0,2.0,1.2,gll,coupled,0.0,exponential,xx,2,physical_k1,0.8913029884096,0.8745408440189553,0.9856714737669745,0.07571857101391713,0.1773997325524632
quad,4.0,2.0,1.2,gll,coupled,0.0,exponential,xx,2,physical_k2,0.9958555448409215,1.0107471378255695,0.9769959538735186,0.08460059011603814,0.1982092617358986
quad,4.0,2.0,1.2,gll,coupled,0.0,exponential,xy,2,physical_k,2.215727004920322,1.66762600295506,4.835300321460843,0.07753730314896187,0.09083040433328371
quad,4.0,2.0,1.2,gll,coupled,0.0,exponential,xy,2,physical_k1,0.27900586804411254,0.22101232900500808,0.7211817704080118,0.00976355052893962,0.011437426970709713
quad,4.0,2.0,1.2,gll,coupled,0.0,exponential,xy,2,physical_k2,1.0416019157880243,1.0442316336140933,1.266204419033047,0.036449889054766364,0.042698907832624144
quad,4.0,2.0,1.2,gll,coupled,0.0,exponential,yy,2,physical_k,0.39513917220397654,0.3944259603491792,0.38652048695603314,0.07854547901673563,0.04600571162460573
quad,4.0,2.0,1.2,gll,coupled,0.0,exponential,yy,2,physical_k1,0.9558008993875069,0.9541333903695001,0.9715168667374099,0.18999341186113602,0.11128307098102971
quad,4.0,2.0,1.2,gll,coupled,0.0,exponential,yy,2,physical_k2,1.0010429811025385,1.0206044989633418,1.0160075257241072,0.19898660016033876,0.11655056737494367
quad,8.0,2.0,1.2,gll,coupled,0.0,sine,x,1,physical_k,1.8307160173562356,1.8140627157000329,9.282054266309203,0.009567558219097787,0.0135715507556956
quad,8.0,2.0,1.2,gll,coupled,0.0,sine,x,1,physical_k1,0.9986806310149402,0.9972811533253773,1.1995687736275449,0.00521923388932773,0.007403466591242476
quad,8.0,2.0,1.2,gll,coupled,0.0,sine,x,1,physical_k2,1.0003813683473202,1.0019315423812813,1.0258446508720813,0.005228122162161239,0.007416074577849724
