dimension,n,curved,field,method,order,max_absolute_error,max_scaled_error,max_element_scaled_error,discrete_relative_l2
2,32,0,constant,recursive,7,168.20600438587851,168.20600438587851,4.895439033451214e-09,nan
2,32,0,constant,direct,7,126.22500000000001,126.22500000000001,3.673630999401212e-09,nan
2,32,0,constant,fe_geometry,7,126.22499999940038,126.22499999940038,3.6736309993837605e-09,nan
2,32,0,constant,reused,7,17.19836888751283,17.19836888751283,5.005384122345373e-10,nan
2,32,0,constant,reused_centered,7,29.077933095907536,29.077933095907536,8.462792348555387e-10,nan
2,32,0,constant,recursive,8,47543.95268924466,47543.95268924466,4.324097307221078e-08,nan
2,32,0,constant,direct,8,21240.0,21240.0,1.9317667465656996e-08,nan
2,32,0,constant,fe_geometry,8,21239.999999891243,21239.999999891243,1.931766746555808e-08,nan
2,32,0,constant,reused,8,3599.766147769267,3599.766147769267,3.273968239017692e-09,nan
2,32,0,constant,reused_centered,8,5271.754638245537,5271.754638245537,4.7946329125311755e-09,nan
2,32,0,constant,recursive,9,7253780.297056687,7253780.297056687,2.0616483587493483e-07,nan
2,32,0,constant,direct,9,3064320.0,3064320.0,8.709321264177561e-08,nan
2,32,0,constant,fe_geometry,9,3064319.999957525,3064319.999957525,8.70932126405684e-08,nan
2,32,0,constant,reused,9,652628.3633532741,652628.3633532741,1.8548813709266883e-08,nan
2,32,0,constant,reused_centered,9,649505.7334640436,649505.7334640436,1.846006322989648e-08,nan
2,32,0,constant,recursive,10,1079933094.7561584,1079933094.7561584,9.591732694823903e-07,nan
2,32,0,constant,direct,10,202752000.0,202752000.0,1.800799509510398e-07,nan
2,32,0,constant,fe_geometry,10,202751999.9998011,202751999.9998011,1.8007995095086313e-07,nan
2,32,0,constant,reused,10,83164854.38830201,83164854.38830201,7.386522894519311e-08,nan
2,32,0,constant,reused_centered,10,36052010.43711996,36052010.43711996,3.202061765705363e-08,nan
2,32,0,quintic,recursive,1,2.1649348980190553e-15,2.1649348980190553e-15,6.765421556309548e-17,3.01244109330322e-14
2,32,0,quintic,direct,1,9.131584377541913e-15,9.131584377541913e-15,2.8536201179818477e-16,7.871605253285512e-14
2,32,0,quintic,fe_geometry,1,2.914335439641036e-14,2.914335439641036e-14,9.107298248878237e-16,2.0265683629734597e-13
2,32,0,quintic,reused,1,1.734723475976807e-15,1.734723475976807e-15,5.421010862427522e-17,1.9782702335235635e-14
2,32,0,quintic,reused_centered,1,1.0685896612017132e-15,1.0685896612017132e-15,3.3393426912553537e-17,1.2315144508686993e-14
2,32,0,quintic,recursive,2,1.6794898805017056e-12,1.6794898805017056e-12,1.6401268364274468e-15,1.6625384177604765e-12
2,32,0,quintic,direct,2,2.138039745247511e-12,2.138039745247511e-12,2.0879294387182723e-15,1.9356049741097432e-12
