family,n,p,amplitude,basis,map,extra,field,derivative,error_l2_ratio,face_rms_ratio,jump_rms_ratio
tri,4.0,4.0,0.0,gll,coupled,0.0,exponential,y,0.9999999983179584,0.9999999996268624,1.0000000045568176
tri,4.0,4.0,0.0,gll,coupled,0.0,exponential,xx,1.0000000075307918,1.0000000066255585,1.0000000079192484
tri,4.0,4.0,0.0,gll,coupled,0.0,exponential,xy,1.0000000007324479,1.000000002976745,1.0000000038267387
tri,4.0,4.0,0.0,gll,coupled,0.0,exponential,yy,0.9999999762312628,0.999999975177314,0.9999999767909056
tri,4.0,4.0,0.0,gll,coupled,0.0,exponential,xxx,1.000000012935537,1.0000000107839775,1.0000000039992623
tri,4.0,4.0,0.0,gll,coupled,0.0,exponential,xxy,1.0000000051197497,1.0000000068097723,0.9999999987596174
tri,4.0,4.0,0.0,gll,coupled,0.0,exponential,xyy,0.9999999675276594,0.9999999685761294,0.999999931371244
tri,4.0,4.0,0.0,gll,coupled,0.0,exponential,yyy,0.9999999905206665,0.9999999941414105,1.0000000072196062
tri,4.0,4.0,0.0,gll,coupled,0.0,constant,x,nan,nan,nan
tri,4.0,4.0,0.0,gll,coupled,0.0,constant,y,nan,nan,nan
tri,4.0,4.0,0.0,gll,coupled,0.0,constant,xx,nan,nan,nan
tri,4.0,4.0,0.0,gll,coupled,0.0,constant,xy,nan,nan,nan
tri,4.0,4.0,0.0,gll,coupled,0.0,constant,yy,nan,nan,nan
tri,4.0,4.0,0.0,gll,coupled,0.0,constant,xxx,nan,nan,nan
tri,4.0,4.0,0.0,gll,coupled,0.0,constant,xxy,nan,nan,nan
tri,4.0,4.0,0.0,gll,coupled,0.0,constant,xyy,nan,nan,nan
tri,4.0,4.0,0.0,gll,coupled,0.0,constant,yyy,nan,nan,nan
tri,4.0,4.0,0.0,gll,coupled,0.0,physical_quadratic,x,nan,nan,nan
tri,4.0,4.0,0.0,gll,coupled,0.0,physical_quadratic,y,nan,nan,nan
tri,4.0,4.0,0.0,gll,coupled,0.0,physical_quadratic,xx,nan,nan,nan
tri,4.0,4.0,0.0,gll,coupled,0.0,physical_quadratic,xy,nan,nan,nan
tri,4.0,4.0,0.0,gll,coupled,0.0,physical_quadratic,yy,nan,nan,nan
tri,4.0,4.0,0.0,gll,coupled,0.0,physical_quadratic,xxx,nan,nan,nan
tri,4.0,4.0,0.0,gll,coupled,0.0,physical_quadratic,xxy,nan,nan,nan
tri,4.0,4.0,0.0,gll,coupled,0.0,physical_quadratic,xyy,nan,nan,nan
tri,4.0,4.0,0.0,gll,coupled,0.0,physical_quadratic,yyy,nan,nan,nan
quad,4.0,2.0,0.7,gll,separable,0.0,represented_quadratic,x,2.008721840735255e-12,1.3247606779519664e-12,1.7085390435764197e-12
quad,4.0,2.0,0.7,gll,separable,0.0,represented_quadratic,y,9.73633188489559e-12,6.9674125818688565e-12,7.588313449561423e-12
quad,4.0,2.0,0.7,gll,separable,0.0,represented_quadratic,xx,4.586325858526416e-13,2.600458054344183e-13,1.2262350244269965e-12
quad,4.0,2.0,0.7,gll,separable,0.0,represented_quadratic,xy,9.06961721555308e-11,5.7245874807905966e-11,9.549280893141549e-11
quad,4.0,2.0,0.7,gll,separable,0.0,represented_quadratic,yy,2.201048771697316e-12,1.237972991680602e-12,4.872802467297512e-12
quad,4.0,2.0,0.7,gll,separable,0.0,constant,x,nan,nan,nan
quad,4.0,2.0,0.7,gll,separable,0.0,constant,y,nan,nan,nan
quad,4.0,2.0,0.7,gll,separable,0.0,constant,xx,nan,nan,nan
quad,4.0,2.0,0.7,gll,separable,0.0,constant,xy,nan,nan,nan
quad,4.0,2.0,0.7,gll,separable,0.0,constant,yy,nan,nan,nan
